
Count: 48  Balance: 100.95799999999994  Reward: -1420.054  Higest ballance 100.96999999999996  Max_lose: -0.012000000000014666  Max_profit: 0.9879999999999853  Number of losses: 4  Number of wins: 5
Count: 49  Balance: 104.91999999999999  Reward: -1404.08  Higest ballance 104.99699999999999  Max_lose: -0.028000000000005798  Max_profit: 3.9639999999999844  Number of losses: 6  Number of wins: 11
Count: 50  Balance: 100.08999999999999  Reward: -1423.91  Higest ballance 100.08999999999999  Max_lose: -0.01100000000000989  Max_profit: 0.06999999999999318  Number of losses: 3  Number of wins: 6
Count: 51  Balance: 100.02100000000007  Reward: -1416.972  Higest ballance 100.02100000000007  Max_lose: -0.009999999999976694  Max_profit: 0.01100000000000989  Number of losses: 3  Number of wins: 8
Count: 52  Balance: 99.99200000000002  Reward: -1425.01  Higest ballance 100.99400000000003  Max_lose: -1.0020000000000095  Max_profit: 1.0040000000000049  Number of losses: 2  Number of wins: 2
Count: 53  Balance: 96.96099999999998  Reward: -1407.06  Higest ballance 100  Max_lose: -2.0010000000000048  Max_profit: 0.00899999999998613  Number of losses: 6  Number of wins: 8
Count: 54  Balance: 102.96000000000002  Reward: -1410.0379999999998  Higest ballance 102.99400000000003  Max_lose: -0.012999999999991019  Max_profit: 2.9989999999999952  Number of losses: 5  Number of wins: 8
Count: 55  Balance: 98.97200000000002  Reward: -1426.028  Higest ballance 100  Max_lose: -1.0020000000000095  Max_profit: 0  Number of losses: 4  Number of wins: 3
Count: 56  Balance: 125.00599999999997  Reward: -1380.99  Higest ballance 128.00300000000001  Max_lose: -2.9960000000000235  Max_profit: 28.00100000000002  Number of losses: 5  Number of wins: 9
Count: 57  Balance: 99.97500000000001  Reward: -1424.025  Higest ballance 100  Max_lose: -0.01799999999998647  Max_profit: 0  Number of losses: 4  Number of wins: 4
Count: 58  Balance: 99.00699999999999  Reward: -1425.993  Higest ballance 100.015  Max_lose: -1.01100000000001  Max_profit: 0.010000000000005116  Number of losses: 2  Number of wins: 4
Count: 59  Balance: 100.00200000000001  Reward: -1415.998  Higest ballance 100.009  Max_lose: -0.9979999999999905  Max_profit: 1.0039999999999765  Number of losses: 4  Number of wins: 8
Count: 60  Balance: 100.03300000000002  Reward: -1429.967  Higest ballance 100.03300000000002  Max_lose: 0  Max_profit: 0.014999999999986358  Number of losses: 0  Number of wins: 4
Count: 61  Balance: 102.03800000000003  Reward: -1414.962  Higest ballance 102.03800000000003  Max_lose: -0.0030000000000001137  Max_profit: 1.0030000000000001  Number of losses: 1  Number of wins: 7
Count: 62  Balance: 99.974  Reward: -1429.026  Higest ballance 100  Max_lose: -0.025000000000005684  Max_profit: 0  Number of losses: 2  Number of wins: 2
Count: 63  Balance: 101.02900000000004  Reward: -1412.9689999999996  Higest ballance 101.03300000000002  Max_lose: -0.015999999999991132  Max_profit: 0.9990000000000094  Number of losses: 1  Number of wins: 8
Count: 64  Balance: 100.01100000000001  Reward: -1403.989  Higest ballance 100.01800000000001  Max_lose: -0.015999999999991132  Max_profit: 0.018000000000000682  Number of losses: 5  Number of wins: 13
Count: 65  Balance: 101.01600000000002  Reward: -1416.985  Higest ballance 101.01600000000002  Max_lose: -0.0040000000000048885  Max_profit: 0.9989999999999952  Number of losses: 2  Number of wins: 7
Count: 66  Balance: 78.02100000000003  Reward: -1443.9789999999998  Higest ballance 100.01100000000001  Max_lose: -20.992999999999995  Max_profit: 0.008000000000009777  Number of losses: 2  Number of wins: 3
Count: 67  Balance: 100.008  Reward: -1414.9969999999998  Higest ballance 100.035  Max_lose: -0.021000000000000796  Max_profit: 0.025000000000005684  Number of losses: 3  Number of wins: 6
Count: 68  Balance: 100.99099999999999  Reward: -1427.011  Higest ballance 100.99799999999999  Max_lose: -0.006000000000000227  Max_profit: 0.9979999999999905  Number of losses: 2  Number of wins: 3
Count: 69  Balance: 101.008  Reward: -1415.9920000000002  Higest ballance 101.008  Max_lose: -0.01799999999998647  Max_profit: 1.007000000000005  Number of losses: 2  Number of wins: 6
Count: 70  Balance: 99.93100000000001  Reward: -1427.069  Higest ballance 100  Max_lose: -0.06399999999999295  Max_profit: 0  Number of losses: 3  Number of wins: 3
Count: 71  Balance: 98.00700000000002  Reward: -1407.9920000000002  Higest ballance 100.00899999999999  Max_lose: -1.0080000000000098  Max_profit: 0.00899999999998613  Number of losses: 5  Number of wins: 8
